Date;OR FP Equity;DG FP Equity;TTE FP Equity;AI FP Equity;DSY FP Equity;CS FP Equity;ERF FP Equity;BNP FP Equity;BN FP Equity;CAP FP Equity;CA FP Equity;SGO FP Equity;AC FP Equity;EL FP Equity;VIV FP Equity;MC FP Equity;ML FP Equity;KER FP Equity;PUB FP Equity;RNO FP Equity;SAF FP Equity;HO FP Equity;TEP FP Equity;RMS FP Equity;ENGI FP Equity;ORA FP Equity;MT NA Equity;EN FP Equity;VIE FP Equity;SAN FP Equity;GLE FP Equity;SU FP Equity;AIR FP Equity;LR FP Equity;URW FP Equity;ACA FP Equity;RI FP Equity;STMPA FP Equity
04/08/2023;411.85;101.98;55.57;144.5636;37.78;27.455;58.92;59.29;54.2;162.3;18.16;61.31;32.86;174.84;8.264;816;28.98;514.5;73.88;38.43;146.26;134.6;128.6;1927;14.438;10.092;25.175;32.34;27.83;93.92;25.395;160.96;130.8;91.68;50.38;11.864;195.8;45.4
11/08/2023;412.3;103.6;57.17;146.9273;36.86;27.84;57.6;59.55;54.53;162.9;18.12;61;33.38;175.3;8.1;820.4;28.31;517.1;73.02;37.82;147.16;135.65;119.95;1924.8;14.494;10.262;24.625;31.8;28.07;97.07;25.535;159.34;130.74;91.5;49.95;11.55;196.4;43.155
18/08/2023;398.2;101;57.01;146.0364;35.755;27.175;53.94;58.22;53.19;160.25;18.115;59.25;32.6;173.5;8.03;776.9;28.47;492.6;71;36.655;143.42;129.45;115.6;1862.6;14.588;10.264;23.7;31.2;27.59;98;25.305;154.32;126.7;89.06;47.2;11.33;192.55;42.15
25/08/2023;401.45;102.34;57.32;148.0364;35.705;27.395;55.86;58.31;53.51;162.55;18.21;58.04;32.34;174.04;8.182;785.3;28.42;487.6;71.26;36.405;145.1;132.7;118.6;1883.2;14.794;10.262;24.075;31.29;28.06;98.71;25.915;156.52;129.88;89.12;47.01;11.466;193.2;42.44
01/09/2023;405.2;102.72;58.89;152.0182;36.47;27.85;56.64;59.59;53.76;172;17.285;60.25;33.54;174.18;8.464;775.8;29.01;488.8;72.42;35;146.06;135.25;129.2;1885.8;14.82;10.43;25.1;31.83;28.63;98.61;26.275;157.44;133.86;90.84;48.59;11.65;181.4;43.555
08/09/2023;404.25;102.96;60.38;150.4364;36.45;27.705;54.18;58.43;53.57;170.3;16.985;57.37;33.74;173.34;8.194;740;29.52;469.7;73.38;35.985;148.54;138.7;126.8;1849.4;14.828;10.794;24.205;31.76;28.75;100.34;25.28;157.12;135.44;90.76;48.2;11.158;174.5;41.38
15/09/2023;410;107.48;62.37;152.7818;35.34;29.39;55.36;61.46;53.79;170.1;16.96;57.24;34.64;175.32;8.22;761.2;30.27;469.1;73.38;38.145;152.42;139.5;125;1903.6;15.198;11.06;24.355;33.34;29.57;102.8;26.47;157.44;131.32;88.38;47.2;11.836;171.9;41.34
22/09/2023;398.35;105.34;61.91;145.9455;35.01;28.82;54.86;60.74;53.02;166.75;16.44;56.13;32.98;167.96;8.456;732.3;29.5;460.45;71.16;38.35;147.2;132.7;121.15;1793;14.958;11.094;23.335;33.34;28.52;102.1;23.12;154.14;123.88;84.44;46.94;11.502;166.3;40.27
29/09/2023;393.2;105.02;62.31;145.3091;35.295;28.18;53.5;60.43;52.26;165.8;16.285;56.88;31.94;165.16;8.296;716.4;29.07;431.9;71.76;38.875;148.64;133.1;119.4;1729.8;14.53;10.86;23.775;33.14;27.43;101.48;23.045;156.98;126.98;87.3;46.75;11.692;157.85;40.985
06/10/2023;394.2;102.32;60.34;143.4909;36.33;27.97;52.94;59.98;51.31;165.3;16.17;54.47;31.74;164.06;8.324;729.7;29.18;425.35;71.86;35.725;144.78;128;117.6;1756.4;14.132;10.984;22.825;32.61;26.48;102.2;22.695;155.58;124.28;86.32;45.11;11.678;158.6;42.055
